Career Goal(s),Resume on File,Cover Letter on File,LinkedIn Profile,Job Preferences,Internship Applications,Internship Placements,Co-op Participation,Employer Feedback,Career Advisor Assigned,Skills Inventory,Certifications Completed,Job Offers Received,Employment Status,Industry of Interest,Portfolio Link,Career Fair Attendance,Interview Coaching Attended,Mock Interview Participation,Workshops Attended,Networking Events Attended,Employer Connections,Mentorship Participation,Alumni Networking Activity,Reference Contacts,Job Application History,Resume Edits,LinkedIn Coaching Completed,Internship Evaluation,Interview Dates,Volunteer Experience,Work-Study Participation,Professional Development Points,Gig/Part-time Work Logged,Job Placement Service Use,Employment Verification,Career Pathway Mapping,Career Readiness Score,Skill Gap Assessment,Industry Certification Interest,Labor Market Match Score,Internship Provider Contact,Career Workshop Feedback,Resume Score,Professional Licenses,Research Projects,Career Competency Ratings,Entrepreneurship Activities,Published Work,Internship Employer Industry
Goal: Become a Data Analyst in Finance.,resume_candidate38.pdf,coverletter_candidate38.pdf,https://linkedin.com/in/candidate38,"Prefers full-time, remote opportunities.",6,1,TRUE,Satisfactory performance,Carol Davis,"Python, Excel, Communication, Leadership",Certification 38,2,Unemployed,Finance,https://portfolio.example.com/candidate38,1,TRUE,FALSE,3,4,Connected with Company 38,TRUE,1/3/00,Reference 38,5,2,TRUE,Exceeds expectations,2/21/23,Volunteered at local shelter.,FALSE,14,0,TRUE,FALSE,Pathway mapped to Finance,78,Minor skill gaps identified.,Interested in Six Sigma.,68,provider38@internships.com,Workshop was very informative.,68,None,Project 38,Low,Participated in startup competitions.,Published 2 articles.,Healthcare
Goal: Become a Marketing Manager in Healthcare.,resume_candidate39.pdf,coverletter_candidate39.pdf,https://linkedin.com/in/candidate39,"Prefers full-time, remote opportunities.",7,2,FALSE,Excellent performance,David Miller,"Python, Excel, Communication, Leadership",Certification 39,3,Student,Healthcare,https://portfolio.example.com/candidate39,2,FALSE,TRUE,1,4,Connected with Company 39,FALSE,1/1/00,Reference 39,3,3,FALSE,Meets expectations,2/22/23,Volunteered at local shelter.,TRUE,13,3,FALSE,TRUE,Pathway mapped to Healthcare,79,Minor skill gaps identified.,Interested in Six Sigma.,69,provider39@internships.com,Workshop was very informative.,69,None,Project 39,High,Participated in startup competitions.,Published 2 articles.,Manufacturing
Goal: Become a Financial Advisor in Education.,resume_candidate40.pdf,coverletter_candidate40.pdf,https://linkedin.com/in/candidate40,"Prefers full-time, remote opportunities.",5,1,TRUE,Positive feedback,Evelyn Garcia,"Python, Excel, Communication, Leadership",Certification 40,0,Employed,Education,https://portfolio.example.com/candidate40,3,TRUE,FALSE,2,2,Connected with Company 40,TRUE,1/2/00,Reference 40,3,1,TRUE,Exceeds expectations,2/23/23,Volunteered at local shelter.,FALSE,10,2,TRUE,FALSE,Pathway mapped to Education,80,Minor skill gaps identified.,Interested in Six Sigma.,70,provider40@internships.com,Workshop was very informative.,70,Licensed Professional Engineer,Project 40,Low,Participated in startup competitions.,Published 2 articles.,Consulting
Goal: Become a Product Designer in Consulting.,resume_candidate41.pdf,coverletter_candidate41.pdf,https://linkedin.com/in/candidate41,"Prefers full-time, remote opportunities.",6,2,FALSE,Satisfactory performance,Alice Johnson,"Python, Excel, Communication, Leadership",Certification 41,1,Unemployed,Consulting,https://portfolio.example.com/candidate41,2,FALSE,TRUE,3,3,Connected with Company 41,FALSE,1/3/00,Reference 41,4,1,FALSE,Meets expectations,2/24/23,Volunteered at local shelter.,TRUE,11,1,FALSE,TRUE,Pathway mapped to Consulting,81,Minor skill gaps identified.,Interested in Six Sigma.,71,provider41@internships.com,Workshop was very informative.,71,None,Project 41,High,Participated in startup competitions.,Published 2 articles.,Education
Goal: Become a Consultant in Technology.,resume_candidate42.pdf,coverletter_candidate42.pdf,https://linkedin.com/in/candidate42,"Prefers full-time, remote opportunities.",7,1,TRUE,Excellent performance,Bob Smith,"Python, Excel, Communication, Leadership",Certification 42,2,Student,Technology,https://portfolio.example.com/candidate42,3,TRUE,FALSE,1,4,Connected with Company 42,TRUE,1/1/00,Reference 42,3,3,TRUE,Exceeds expectations,2/25/23,Volunteered at local shelter.,FALSE,12,2,TRUE,FALSE,Pathway mapped to Technology,82,Minor skill gaps identified.,Interested in Six Sigma.,72,provider42@internships.com,Workshop was very informative.,72,None,Project 42,Medium,Participated in startup competitions.,Published 2 articles.,Retail
Goal: Become a Research Scientist in Finance.,resume_candidate43.pdf,coverletter_candidate43.pdf,https://linkedin.com/in/candidate43,"Prefers full-time, remote opportunities.",5,2,FALSE,Positive feedback,Carol Davis,"Python, Excel, Communication, Leadership",Certification 43,3,Employed,Finance,https://portfolio.example.com/candidate43,1,FALSE,TRUE,2,3,Connected with Company 43,FALSE,1/2/00,Reference 43,4,1,FALSE,Meets expectations,2/26/23,Volunteered at local shelter.,TRUE,13,3,FALSE,TRUE,Pathway mapped to Finance,83,Minor skill gaps identified.,Interested in Six Sigma.,73,provider43@internships.com,Workshop was very informative.,73,None,Project 43,High,Participated in startup competitions.,Published 2 articles.,Consulting
Goal: Become a HR Specialist in Healthcare.,resume_candidate44.pdf,coverletter_candidate44.pdf,https://linkedin.com/in/candidate44,"Prefers full-time, remote opportunities.",6,1,TRUE,Satisfactory performance,David Miller,"Python, Excel, Communication, Leadership",Certification 44,0,Unemployed,Healthcare,https://portfolio.example.com/candidate44,2,TRUE,FALSE,3,4,Connected with Company 44,TRUE,1/3/00,Reference 44,5,1,TRUE,Exceeds expectations,2/27/23,Volunteered at local shelter.,FALSE,14,0,TRUE,FALSE,Pathway mapped to Healthcare,84,Minor skill gaps identified.,Interested in Six Sigma.,74,provider44@internships.com,Workshop was very informative.,74,None,Project 44,Low,Participated in startup competitions.,Published 2 articles.,Manufacturing
Goal: Become a Software Engineer in Education.,resume_candidate45.pdf,coverletter_candidate45.pdf,https://linkedin.com/in/candidate45,"Prefers full-time, remote opportunities.",7,2,FALSE,Excellent performance,Evelyn Garcia,"Python, Excel, Communication, Leadership",Certification 45,1,Student,Education,https://portfolio.example.com/candidate45,3,FALSE,TRUE,1,4,Connected with Company 45,FALSE,1/1/00,Reference 45,3,3,FALSE,Meets expectations,2/28/23,Volunteered at local shelter.,TRUE,13,3,FALSE,TRUE,Pathway mapped to Education,85,Minor skill gaps identified.,Interested in Six Sigma.,75,provider45@internships.com,Workshop was very informative.,75,None,Project 45,High,Participated in startup competitions.,Published 2 articles.,Consulting
Goal: Become a Data Analyst in Consulting.,resume_candidate46.pdf,coverletter_candidate46.pdf,https://linkedin.com/in/candidate46,"Prefers full-time, remote opportunities.",5,1,TRUE,Positive feedback,Alice Johnson,"Python, Excel, Communication, Leadership",Certification 46,2,Employed,Consulting,https://portfolio.example.com/candidate46,1,TRUE,FALSE,2,2,Connected with Company 46,TRUE,1/2/00,Reference 46,3,1,TRUE,Exceeds expectations,3/1/23,Volunteered at local shelter.,FALSE,10,2,TRUE,FALSE,Pathway mapped to Consulting,86,Minor skill gaps identified.,Interested in Six Sigma.,76,provider46@internships.com,Workshop was very informative.,76,None,Project 46,High,Participated in startup competitions.,Published 2 articles.,Education
Goal: Become a Marketing Manager in Technology.,resume_candidate47.pdf,coverletter_candidate47.pdf,https://linkedin.com/in/candidate47,"Prefers full-time, remote opportunities.",6,2,FALSE,Satisfactory performance,Bob Smith,"Python, Excel, Communication, Leadership",Certification 47,3,Unemployed,Technology,https://portfolio.example.com/candidate47,2,FALSE,TRUE,3,3,Connected with Company 47,FALSE,1/3/00,Reference 47,4,1,FALSE,Meets expectations,3/2/23,Volunteered at local shelter.,TRUE,11,1,FALSE,TRUE,Pathway mapped to Technology,87,Minor skill gaps identified.,Interested in Six Sigma.,77,provider47@internships.com,Workshop was very informative.,77,None,Project 47,Medium,Participated in startup competitions.,Published 2 articles.,Retail
Goal: Become a Financial Advisor in Finance.,resume_candidate48.pdf,coverletter_candidate48.pdf,https://linkedin.com/in/candidate48,"Prefers full-time, remote opportunities.",7,1,TRUE,Excellent performance,Carol Davis,"Python, Excel, Communication, Leadership",Certification 48,2,Student,Finance,https://portfolio.example.com/candidate48,3,TRUE,FALSE,1,4,Connected with Company 48,TRUE,1/1/00,Reference 48,3,3,TRUE,Exceeds expectations,3/3/23,Volunteered at local shelter.,FALSE,12,2,TRUE,FALSE,Pathway mapped to Finance,88,Minor skill gaps identified.,Interested in Six Sigma.,78,provider48@internships.com,Workshop was very informative.,78,None,Project 48,Low,Participated in startup competitions.,Published 2 articles.,Healthcare
Goal: Become a Product Designer in Healthcare.,resume_candidate49.pdf,coverletter_candidate49.pdf,https://linkedin.com/in/candidate49,"Prefers full-time, remote opportunities.",5,2,FALSE,Positive feedback,David Miller,"Python, Excel, Communication, Leadership",Certification 49,3,Employed,Healthcare,https://portfolio.example.com/candidate49,1,FALSE,TRUE,2,3,Connected with Company 49,TRUE,1/2/00,Reference 49,4,1,FALSE,Meets expectations,3/4/23,Volunteered at local shelter.,TRUE,13,3,FALSE,TRUE,Pathway mapped to Healthcare,89,Minor skill gaps identified.,Interested in Six Sigma.,79,provider49@internships.com,Workshop was very informative.,79,None,Project 49,High,Participated in startup competitions.,Published 2 articles.,Manufacturing
Goal: Become a Consultant in Education.,resume_candidate50.pdf,coverletter_candidate50.pdf,https://linkedin.com/in/candidate50,"Prefers full-time, remote opportunities.",6,1,TRUE,Satisfactory performance,Evelyn Garcia,"Python, Excel, Communication, Leadership",Certification 50,0,Unemployed,Education,https://portfolio.example.com/candidate50,2,TRUE,FALSE,3,4,Connected with Company 50,TRUE,1/3/00,Reference 50,5,1,TRUE,Exceeds expectations,3/5/23,Volunteered at local shelter.,FALSE,14,0,TRUE,FALSE,Pathway mapped to Education,90,Minor skill gaps identified.,Interested in Six Sigma.,80,provider50@internships.com,Workshop was very informative.,80,None,Project 50,High,Participated in startup competitions.,Published 2 articles.,Consulting
